KEGG_ID,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5,pathway_6,pathway_7,pathway_8,pathway_9,pathway_10
C12039,,,,,,,,,,
C12040,,,,,,,,,,
C12041,map01054,,,,,,,,,
C12042,map01054,,,,,,,,,
C12043,map01054,,,,,,,,,
C12044,map01051,map01130,,,,,,,,
C12045,map01051,map01052,map01130,,,,,,,
C12046,,,,,,,,,,
C12047,,,,,,,,,,
C12048,,,,,,,,,,
C12049,map01059,map01130,,,,,,,,
C12050,,,,,,,,,,
C12051,,,,,,,,,,
C12052,,,,,,,,,,
C12053,,,,,,,,,,
C12054,,,,,,,,,,
C12055,,,,,,,,,,
C12056,,,,,,,,,,
C12057,,,,,,,,,,
C12058,,,,,,,,,,
C12059,,,,,,,,,,
C12062,,,,,,,,,,
C12063,,,,,,,,,,
C12064,,,,,,,,,,
C12065,,,,,,,,,,
C12066,,,,,,,,,,
C12067,,,,,,,,,,
C12068,,,,,,,,,,
C12069,,,,,,,,,,
C12070,,,,,,,,,,
C12072,,,,,,,,,,
C12073,,,,,,,,,,
C12075,,,,,,,,,,
C12076,,,,,,,,,,
C12077,map00904,map01110,,,,,,,,
C12078,,,,,,,,,,
C12079,,,,,,,,,,
C12080,map01130,,,,,,,,,
C12081,,,,,,,,,,
C12082,,,,,,,,,,
C12083,map04750,,,,,,,,,
C12085,,,,,,,,,,
C12087,,,,,,,,,,
C12088,,,,,,,,,,
C12089,,,,,,,,,,
C12090,,,,,,,,,,
C12091,,,,,,,,,,
C12092,map01058,map01110,,,,,,,,
C12093,map01058,map01063,map01110,,,,,,,
C12095,map00942,,,,,,,,,
C12096,map00942,,,,,,,,,
C12098,,,,,,,,,,
C12099,,,,,,,,,,
C12100,,,,,,,,,,
C12101,,,,,,,,,,
C12102,map01052,,,,,,,,,
C12103,,,,,,,,,,
C12104,,,,,,,,,,
C12105,,,,,,,,,,
C12106,map01051,map01130,,,,,,,,
C12107,map01051,map01130,,,,,,,,
C12108,map01051,map01130,,,,,,,,
C12109,map01051,map01130,,,,,,,,
C12110,,,,,,,,,,
C12111,,,,,,,,,,
C12112,map00525,map01130,,,,,,,,
C12113,,,,,,,,,,
C12114,,,,,,,,,,
C12115,map00999,,,,,,,,,
C12116,,,,,,,,,,
C12117,,,,,,,,,,
C12118,,,,,,,,,,
C12119,map00405,map01130,,,,,,,,
C12120,,,,,,,,,,
C12121,,,,,,,,,,
C12122,,,,,,,,,,
C12123,map00941,map00943,,,,,,,,
C12124,map00941,,,,,,,,,
C12125,map00943,map01061,,,,,,,,
C12126,map00600,map01100,map04071,,,,,,,
C12127,map00941,map01110,,,,,,,,
C12128,map00941,map01110,,,,,,,,
C12129,,,,,,,,,,
C12130,,,,,,,,,,
C12131,,,,,,,,,,
C12132,,,,,,,,,,
C12133,,,,,,,,,,
C12134,map00943,,,,,,,,,
C12135,map00943,,,,,,,,,
C12136,map00941,map01110,,,,,,,,
C12137,map00942,map01100,map01110,,,,,,,
C12138,map00942,,,,,,,,,
C12139,map00942,,,,,,,,,
C12140,map00942,,,,,,,,,
C12141,map00942,,,,,,,,,
C12142,map00909,map01062,map01110,,,,,,,
C12143,,,,,,,,,,
C12144,map00600,map01100,,,,,,,,
C12145,map00600,map01100,,,,,,,,
C12146,,,,,,,,,,
C12147,map00860,,,,,,,,,
C12148,map01052,,,,,,,,,
C12149,,,,,,,,,,
C12150,,,,,,,,,,
C12151,map01052,,,,,,,,,
C12152,map01052,,,,,,,,,
C12153,map01052,,,,,,,,,
C12154,,,,,,,,,,
C12155,map01052,,,,,,,,,
C12156,,,,,,,,,,
C12157,map01052,,,,,,,,,
C12158,,,,,,,,,,
C12159,,,,,,,,,,
C12160,,,,,,,,,,
C12161,,,,,,,,,,
C12162,map00950,map01063,map01110,,,,,,,
C12163,,,,,,,,,,
C12164,,,,,,,,,,
C12165,,,,,,,,,,
C12166,,,,,,,,,,
C12167,,,,,,,,,,
C12168,,,,,,,,,,
C12169,,,,,,,,,,
C12170,,,,,,,,,,
C12171,,,,,,,,,,
C12172,,,,,,,,,,
C12173,map00950,map01063,map01110,,,,,,,
C12174,,,,,,,,,,
C12176,map01051,map01130,,,,,,,,
C12177,map01051,map01130,,,,,,,,
C12178,,,,,,,,,,
C12179,,,,,,,,,,
C12180,map00950,,,,,,,,,
C12181,,,,,,,,,,
C12182,,,,,,,,,,
C12183,,,,,,,,,,
C12184,,,,,,,,,,
C12185,,,,,,,,,,
C12186,,,,,,,,,,
C12187,,,,,,,,,,
C12188,,,,,,,,,,
C12189,,,,,,,,,,
C12190,,,,,,,,,,
C12191,,,,,,,,,,
C12192,,,,,,,,,,
C12193,map00950,,,,,,,,,
C12194,,,,,,,,,,
C12195,,,,,,,,,,
C12196,,,,,,,,,,
C12197,,,,,,,,,,
C12198,,,,,,,,,,
C12199,,,,,,,,,,
C12200,,,,,,,,,,
C12201,,,,,,,,,,
C12202,,,,,,,,,,
C12203,map00940,map01061,map01100,map01110,,,,,,
C12204,map00940,map01061,map01100,map01110,,,,,,
C12205,map00940,map01110,,,,,,,,
C12206,map00940,map01110,,,,,,,,
C12208,map00940,map00941,map00945,map01110,,,,,,
C12210,map00524,map01051,map01130,,,,,,,
C12211,map00524,map01051,map01130,,,,,,,
C12212,map00999,map01051,map01130,,,,,,,
C12213,map00999,map01051,map01130,,,,,,,
C12214,map01051,map01130,,,,,,,,
C12215,map01051,map01130,,,,,,,,
C12216,map01053,map01110,map01130,,,,,,,
C12217,,,,,,,,,,
C12218,,,,,,,,,,
C12219,map01053,map01110,map01130,,,,,,,
C12220,map01053,,,,,,,,,
C12221,map01053,,,,,,,,,
C12222,,,,,,,,,,
C12223,,,,,,,,,,
C12224,,,,,,,,,,
C12225,,,,,,,,,,
C12226,,,,,,,,,,
C12227,,,,,,,,,,
C12228,,,,,,,,,,
C12229,,,,,,,,,,
C12230,,,,,,,,,,
C12231,map01063,,,,,,,,,
C12232,,,,,,,,,,
C12233,,,,,,,,,,
C12234,,,,,,,,,,
C12235,,,,,,,,,,
C12236,,,,,,,,,,
C12237,,,,,,,,,,
C12238,,,,,,,,,,
C12239,,,,,,,,,,
C12240,,,,,,,,,,
C12241,,,,,,,,,,
C12242,,,,,,,,,,
C12243,,,,,,,,,,
C12244,,,,,,,,,,
C12245,,,,,,,,,,
C12246,map01051,map01130,,,,,,,,
C12247,map01051,map01130,,,,,,,,
C12248,map00230,map01100,map01120,,,,,,,
C12249,map00944,map01110,,,,,,,,
C12250,,,,,,,,,,
C12251,,,,,,,,,,
C12252,,,,,,,,,,
C12253,,,,,,,,,,
C12254,,,,,,,,,,
C12255,,,,,,,,,,
C12256,,,,,,,,,,
C12257,,,,,,,,,,
C12258,,,,,,,,,,
C12259,,,,,,,,,,
C12260,,,,,,,,,,
C12261,,,,,,,,,,
C12262,,,,,,,,,,
C12263,,,,,,,,,,
C12264,,,,,,,,,,
C12265,map01054,,,,,,,,,
C12266,map01054,,,,,,,,,
C12267,map01054,,,,,,,,,
C12268,map01054,,,,,,,,,
C12269,,,,,,,,,,
C12270,map00250,map01100,map04080,,,,,,,
C12271,map04080,map04750,,,,,,,,
C12272,map04080,,,,,,,,,
C12276,,,,,,,,,,
C12277,,,,,,,,,,
C12278,,,,,,,,,,
C12280,,,,,,,,,,
C12282,,,,,,,,,,
C12283,map04742,,,,,,,,,
C12284,map04742,map04973,,,,,,,,
C12285,map04973,,,,,,,,,
C12286,,,,,,,,,,
C12287,,,,,,,,,,
C12288,,,,,,,,,,
C12289,,,,,,,,,,
C12290,,,,,,,,,,
C12292,,,,,,,,,,
C12293,,,,,,,,,,
C12294,,,,,,,,,,
C12295,,,,,,,,,,
C12296,,,,,,,,,,
C12297,,,,,,,,,,
C12298,,,,,,,,,,
C12299,,,,,,,,,,
C12300,,,,,,,,,,
C12301,,,,,,,,,,
C12302,,,,,,,,,,
C12303,,,,,,,,,,
C12304,,,,,,,,,,
C12305,map01061,,,,,,,,,
C12306,,,,,,,,,,
C12307,,,,,,,,,,
C12308,,,,,,,,,,
C12309,,,,,,,,,,
C12310,,,,,,,,,,
C12311,,,,,,,,,,
C12312,map00402,map01110,,,,,,,,
C12313,map00930,map01120,,,,,,,,
C12314,map01120,,,,,,,,,
C12316,,,,,,,,,,
C12317,,,,,,,,,,
C12318,map00404,map00523,map01055,map01130,,,,,,
C12319,map01055,map01130,,,,,,,,
C12320,map01055,map01130,,,,,,,,
C12321,map01055,map01130,,,,,,,,
C12322,map01055,map01130,,,,,,,,
C12323,map00261,map01055,map01130,,,,,,,
C12324,map01055,map01130,,,,,,,,
C12325,map01055,map01130,,,,,,,,
C12326,,,,,,,,,,
C12327,,,,,,,,,,
C12328,,,,,,,,,,
C12329,,,,,,,,,,
C12330,,,,,,,,,,
C12331,,,,,,,,,,
C12332,,,,,,,,,,
C12333,,,,,,,,,,
C12334,,,,,,,,,,
C12335,,,,,,,,,,
C12336,,,,,,,,,,
C12337,,,,,,,,,,
C12338,,,,,,,,,,
C12339,,,,,,,,,,
C12340,,,,,,,,,,
C12341,,,,,,,,,,
C12342,,,,,,,,,,
C12343,,,,,,,,,,
C12344,,,,,,,,,,
C12345,,,,,,,,,,
C12346,,,,,,,,,,
C12347,,,,,,,,,,
C12348,map01056,map01130,,,,,,,,
C12349,,,,,,,,,,
C12350,map01056,,,,,,,,,
C12351,,,,,,,,,,
C12352,,,,,,,,,,
C12353,,,,,,,,,,
C12354,map01056,map01130,,,,,,,,
C12355,map01056,map01130,,,,,,,,
C12356,map01056,,,,,,,,,
C12357,,,,,,,,,,
C12358,,,,,,,,,,
C12359,,,,,,,,,,
C12360,,,,,,,,,,
C12361,,,,,,,,,,
C12362,,,,,,,,,,
C12363,,,,,,,,,,
C12364,,,,,,,,,,
C12365,,,,,,,,,,
C12366,map01057,map01130,,,,,,,,
C12367,map01057,map01130,,,,,,,,
C12368,map01057,map01130,,,,,,,,
C12369,map01057,map01130,,,,,,,,
C12370,map01057,map01130,,,,,,,,
C12371,map01057,map01130,,,,,,,,
C12372,,,,,,,,,,
C12373,map01057,map01130,,,,,,,,
C12374,map01057,map01130,,,,,,,,
C12375,map01057,map01130,,,,,,,,
C12376,map01057,map01130,,,,,,,,
C12377,map01057,map01130,,,,,,,,
C12378,map01057,map01130,,,,,,,,
C12379,map01057,map01130,,,,,,,,
C12380,map01057,map01130,,,,,,,,
C12381,map01057,map01130,,,,,,,,
C12382,map01057,map01130,,,,,,,,
C12383,map01057,map01130,,,,,,,,
C12384,map01057,map01130,,,,,,,,
C12385,map01057,map01130,,,,,,,,
C12386,map01057,map01130,,,,,,,,
C12387,map01057,map01130,,,,,,,,
C12388,map01057,map01130,,,,,,,,
C12389,map01057,map01130,,,,,,,,
C12390,map01057,map01130,,,,,,,,
C12391,map01057,map01130,,,,,,,,
C12392,map01057,map01130,,,,,,,,
C12393,map01057,map01130,,,,,,,,
C12394,map01057,map01130,,,,,,,,
C12395,map01057,map01130,,,,,,,,
C12396,map01057,map01130,,,,,,,,
C12397,map01057,map01130,,,,,,,,
C12398,map01057,map01130,,,,,,,,
C12399,map01057,map01130,,,,,,,,
C12400,map01057,map01130,,,,,,,,
C12401,map01057,map01130,,,,,,,,
C12402,map01057,map01130,,,,,,,,
C12403,,,,,,,,,,
C12404,map01057,map01130,,,,,,,,
C12405,map01057,map01130,,,,,,,,
C12406,map01057,map01130,,,,,,,,
C12407,map01057,map01130,,,,,,,,
C12408,map01057,map01130,,,,,,,,
C12409,map01057,map01130,,,,,,,,
C12410,map01057,map01130,,,,,,,,
C12411,map01057,map01130,,,,,,,,
C12412,map01057,map01130,,,,,,,,
C12413,map01057,map01130,,,,,,,,
C12414,map01057,map01130,,,,,,,,
C12415,map01057,map01130,,,,,,,,
C12416,map01057,map01130,,,,,,,,
C12417,map01057,map01130,,,,,,,,
C12418,map01057,map01130,,,,,,,,
C12419,map01057,map01130,,,,,,,,
C12420,map01057,map01130,,,,,,,,
C12421,map01057,map01130,,,,,,,,
C12422,map01057,map01130,,,,,,,,
C12423,map01057,map01130,,,,,,,,
C12424,map01057,map01130,,,,,,,,
C12425,map01057,map01130,,,,,,,,
C12426,map01057,map01130,,,,,,,,
C12427,map01057,map01130,,,,,,,,
C12428,map01057,map01130,,,,,,,,
C12429,map01057,map01130,,,,,,,,
C12430,map01057,map01130,,,,,,,,
C12431,map01057,map01130,,,,,,,,
C12432,map01057,map01130,,,,,,,,
C12433,map01057,map01130,,,,,,,,
C12434,map01057,map01130,,,,,,,,
C12435,map01057,map01130,,,,,,,,
C12436,map01057,map01130,,,,,,,,
C12437,map01057,map01130,,,,,,,,
C12439,,,,,,,,,,
C12440,map00960,map01110,,,,,,,,
C12441,map00253,map01056,map01130,,,,,,,
C12442,map00253,map01056,map01130,,,,,,,
C12443,,,,,,,,,,
C12444,,,,,,,,,,
C12446,,,,,,,,,,
C12447,,,,,,,,,,
C12448,map00960,map01064,map01100,map01110,,,,,,
C12449,map00960,,,,,,,,,
C12450,map00960,,,,,,,,,
C12451,map01057,map01130,,,,,,,,
C12452,map00960,,,,,,,,,
C12453,map00960,,,,,,,,,
C12454,map00960,,,,,,,,,
C12455,map00960,map01100,map01110,,,,,,,
C12456,map00401,map01130,,,,,,,,
C12457,map00401,map01130,,,,,,,,
C12458,map00401,map01130,,,,,,,,
C12459,map00401,map01130,,,,,,,,
C12460,map00401,map01130,,,,,,,,
C12461,map00401,map01130,,,,,,,,
C12462,map00401,map01130,,,,,,,,
C12463,map00401,map01130,,,,,,,,
C12464,,,,,,,,,,
C12465,,,,,,,,,,
C12466,,,,,,,,,,
C12467,map00401,map01130,,,,,,,,
C12468,map00401,map01130,,,,,,,,
C12469,map00401,map01130,,,,,,,,
C12470,map00333,map00401,map01130,,,,,,,
C12471,map00401,map01130,,,,,,,,
C12472,map00401,map01130,,,,,,,,
C12473,map00401,map01130,,,,,,,,
C12474,map00401,map01130,,,,,,,,
C12475,map00401,map01130,,,,,,,,
C12476,map00401,map01130,,,,,,,,
C12477,map00401,map01130,,,,,,,,
C12478,,,,,,,,,,
C12479,map00401,map01130,,,,,,,,
C12480,map00401,map01130,,,,,,,,
C12481,map00401,map00523,map01130,,,,,,,
C12483,map00333,map00401,map01130,,,,,,,
C12484,,,,,,,,,,
C12486,,,,,,,,,,
C12490,,,,,,,,,,
C12491,map00404,map01130,,,,,,,,
C12505,map05133,,,,,,,,,
C12508,,,,,,,,,,
C12512,,,,,,,,,,
C12518,,,,,,,,,,
C12525,,,,,,,,,,
C12531,,,,,,,,,,
C12535,,,,,,,,,,
C12537,,,,,,,,,,
C12538,,,,,,,,,,
C12539,,,,,,,,,,
C12540,,,,,,,,,,
C12552,,,,,,,,,,
C12554,,,,,,,,,,
C12557,,,,,,,,,,
C12560,map04976,,,,,,,,,
C12564,,,,,,,,,,
C12567,,,,,,,,,,
C12568,,,,,,,,,,
C12569,,,,,,,,,,
C12570,,,,,,,,,,
C12574,,,,,,,,,,
C12580,,,,,,,,,,
C12590,,,,,,,,,,
C12599,,,,,,,,,,
C12600,,,,,,,,,,
C12603,,,,,,,,,,
C12609,,,,,,,,,,
C12616,,,,,,,,,,
C12621,map00360,map01120,map01220,,,,,,,
C12622,map00360,map01120,map01220,,,,,,,
C12623,map00360,map01120,map01220,,,,,,,
C12624,map00360,map01120,map01220,,,,,,,
C12625,map00943,,,,,,,,,
C12626,map00944,,,,,,,,,
C12627,map00944,,,,,,,,,
C12628,map00944,,,,,,,,,
C12629,map00944,,,,,,,,,
C12630,map00944,,,,,,,,,
C12631,map00943,map01110,,,,,,,,
C12632,map00944,,,,,,,,,
C12633,map00944,,,,,,,,,
C12634,map00944,,,,,,,,,
C12635,map00944,,,,,,,,,
C12636,map00944,,,,,,,,,
C12637,map00944,,,,,,,,,
C12638,map00944,,,,,,,,,
C12639,,,,,,,,,,
C12640,map00942,,,,,,,,,
C12641,map00942,,,,,,,,,
C12642,map00942,,,,,,,,,
C12643,map00942,,,,,,,,,
C12644,map00942,,,,,,,,,
C12645,map00942,,,,,,,,,
C12646,map00942,,,,,,,,,
C12647,map00942,,,,,,,,,
C12649,,,,,,,,,,
C12650,map00983,,,,,,,,,
C12656,,,,,,,,,,
C12661,,,,,,,,,,
C12662,,,,,,,,,,
C12666,,,,,,,,,,
C12667,map00944,,,,,,,,,
C12668,map00944,,,,,,,,,
C12673,map00983,,,,,,,,,
C12675,,,,,,,,,,
C12677,,,,,,,,,,
C12679,,,,,,,,,,
C12685,,,,,,,,,,
C12691,,,,,,,,,,
C12694,,,,,,,,,,
C12695,,,,,,,,,,
C12712,,,,,,,,,,
C12717,,,,,,,,,,
C12724,,,,,,,,,,
C12729,,,,,,,,,,
C12739,map00983,,,,,,,,,
C12750,,,,,,,,,,
C12753,,,,,,,,,,
C12755,,,,,,,,,,
C12766,,,,,,,,,,
C12767,,,,,,,,,,
C12768,,,,,,,,,,
C12786,,,,,,,,,,
C12796,,,,,,,,,,
C12798,,,,,,,,,,
C12811,,,,,,,,,,
C12814,,,,,,,,,,
C12816,,,,,,,,,,
C12819,,,,,,,,,,
C12829,,,,,,,,,,
C12831,map00361,map01100,map01120,map01220,,,,,,
C12832,map00361,map01100,map01120,map01220,,,,,,
C12833,map00361,map01100,map01120,,,,,,,
C12834,map00361,map01100,map01120,,,,,,,
C12835,map00361,map01100,map01120,,,,,,,
C12836,map00361,map01100,map01120,,,,,,,
C12837,map00361,map01120,map01220,,,,,,,
C12838,map00361,map01120,,,,,,,,
C12839,,,,,,,,,,
C12842,,,,,,,,,,
C12849,,,,,,,,,,
C12853,,,,,,,,,,
C12859,,,,,,,,,,
C12861,,,,,,,,,,
C12862,,,,,,,,,,
C12864,,,,,,,,,,
C12865,,,,,,,,,,
C12869,,,,,,,,,,
C12871,,,,,,,,,,
C12876,,,,,,,,,,
C12886,,,,,,,,,,
C12888,,,,,,,,,,
C12889,,,,,,,,,,
C12891,,,,,,,,,,
C12893,,,,,,,,,,
C12896,,,,,,,,,,
C12905,,,,,,,,,,
C12915,,,,,,,,,,
C12919,,,,,,,,,,
C12933,,,,,,,,,,
C12935,,,,,,,,,,
C12937,,,,,,,,,,
C12942,,,,,,,,,,
C12946,,,,,,,,,,
C12948,,,,,,,,,,
C12954,,,,,,,,,,
C12958,,,,,,,,,,
C12959,,,,,,,,,,
C12961,,,,,,,,,,
C12962,,,,,,,,,,
C12967,,,,,,,,,,
C12978,,,,,,,,,,
C12979,,,,,,,,,,
C12981,map04977,,,,,,,,,
C12986,,,,,,,,,,
C12987,,,,,,,,,,
C12988,,,,,,,,,,
C12989,,,,,,,,,,
C13008,,,,,,,,,,
C13014,,,,,,,,,,
C13016,,,,,,,,,,
C13024,,,,,,,,,,
C13031,,,,,,,,,,
C13034,,,,,,,,,,
C13037,,,,,,,,,,
C13038,,,,,,,,,,
C13044,,,,,,,,,,
C13048,,,,,,,,,,
C13050,map04020,map04921,map04970,map04972,,,,,,
C13051,map04020,map04972,,,,,,,,
C13055,,,,,,,,,,
C13058,,,,,,,,,,
C13061,,,,,,,,,,
C13072,,,,,,,,,,
C13074,,,,,,,,,,
C13077,,,,,,,,,,
C13085,,,,,,,,,,
C13086,,,,,,,,,,
C13089,,,,,,,,,,
C13101,,,,,,,,,,
C13102,,,,,,,,,,
C13103,,,,,,,,,,
C13104,,,,,,,,,,
C13106,,,,,,,,,,
C13109,,,,,,,,,,
C13110,,,,,,,,,,
C13112,,,,,,,,,,
C13127,,,,,,,,,,
C13129,,,,,,,,,,
C13138,,,,,,,,,,
C13140,,,,,,,,,,
C13141,,,,,,,,,,
C13142,,,,,,,,,,
C13143,,,,,,,,,,
C13144,,,,,,,,,,
C13154,,,,,,,,,,
C13156,,,,,,,,,,
C13167,,,,,,,,,,
C13168,,,,,,,,,,
C13173,,,,,,,,,,
C13179,,,,,,,,,,
C13182,,,,,,,,,,
C13183,,,,,,,,,,
C13189,,,,,,,,,,
C13192,,,,,,,,,,
C13194,,,,,,,,,,
C13197,,,,,,,,,,
C13198,,,,,,,,,,
C13199,,,,,,,,,,
C13202,map04977,,,,,,,,,
C13229,,,,,,,,,,
C13235,,,,,,,,,,
C13240,,,,,,,,,,
C13244,,,,,,,,,,
C13249,,,,,,,,,,
C13252,map00983,,,,,,,,,
C13254,,,,,,,,,,
C13269,,,,,,,,,,
C13273,map00904,map01110,,,,,,,,
C13280,,,,,,,,,,
C13297,,,,,,,,,,
C13299,,,,,,,,,,
C13301,,,,,,,,,,
C13309,map00130,map01100,map01110,,,,,,,
C13310,,,,,,,,,,
C13311,,,,,,,,,,
C13326,,,,,,,,,,
C13334,map07024,,,,,,,,,
C13342,,,,,,,,,,
C13355,,,,,,,,,,
C13358,,,,,,,,,,
C13364,,,,,,,,,,
C13373,,,,,,,,,,
C13376,,,,,,,,,,
C13377,,,,,,,,,,
C13378,,,,,,,,,,
C13383,,,,,,,,,,
C13391,,,,,,,,,,
C13392,,,,,,,,,,
C13400,,,,,,,,,,
C13403,,,,,,,,,,
C13409,,,,,,,,,,
C13410,,,,,,,,,,
C13414,,,,,,,,,,
C13415,,,,,,,,,,
C13416,,,,,,,,,,
C13422,,,,,,,,,,
C13424,,,,,,,,,,
C13425,map00130,map01110,,,,,,,,
C13426,,,,,,,,,,
C13427,,,,,,,,,,
C13429,,,,,,,,,,
C13431,map00906,map01100,map01110,,,,,,,
C13433,map00906,map01100,map01110,,,,,,,
C13440,,,,,,,,,,
C13441,,,,,,,,,,
C13444,,,,,,,,,,
C13450,,,,,,,,,,
C13451,,,,,,,,,,
C13452,,,,,,,,,,
C13453,map00906,map01062,map01100,map01110,,,,,,
C13454,map00906,,,,,,,,,
C13455,map00906,map01100,map01110,,,,,,,
C13456,map00906,,,,,,,,,
C13478,,,,,,,,,,
C13480,,,,,,,,,,
C13482,map00564,,,,,,,,,
C13487,,,,,,,,,,
C13493,,,,,,,,,,
C13494,,,,,,,,,,
C13500,,,,,,,,,,
C13503,,,,,,,,,,
C13505,,,,,,,,,,
C13508,map00561,map01100,,,,,,,,
C13511,,,,,,,,,,
C13515,,,,,,,,,,
C13522,,,,,,,,,,
C13523,map04080,map04972,map04976,,,,,,,
C13524,,,,,,,,,,
C13526,,,,,,,,,,
C13534,,,,,,,,,,
C13540,,,,,,,,,,
C13542,,,,,,,,,,
C13546,,,,,,,,,,
C13547,,,,,,,,,,
C13548,,,,,,,,,,
C13550,map00120,,,,,,,,,
C13553,,,,,,,,,,
C13554,,,,,,,,,,
C13556,,,,,,,,,,
C13557,,,,,,,,,,
C13558,,,,,,,,,,
C13563,,,,,,,,,,
C13569,,,,,,,,,,
C13587,,,,,,,,,,
C13588,,,,,,,,,,
C13591,,,,,,,,,,
C13610,,,,,,,,,,
C13612,,,,,,,,,,
C13613,,,,,,,,,,
C13619,,,,,,,,,,
C13620,map00363,map01120,,,,,,,,
C13621,map00363,map01120,,,,,,,,
C13622,map00363,map01120,,,,,,,,
C13623,map00363,map01120,,,,,,,,
C13624,map00363,map01100,map01120,,,,,,,
C13625,map00363,map01120,,,,,,,,
C13626,map00363,map01120,,,,,,,,
C13628,map00363,map01120,,,,,,,,
C13629,map00363,map01100,map01120,,,,,,,
C13630,,,,,,,,,,
C13631,map00363,map01120,,,,,,,,
C13632,map00363,map01100,map01120,,,,,,,
C13633,map00363,map01120,,,,,,,,
C13634,map00363,map01120,,,,,,,,
C13635,map00363,map01120,,,,,,,,
C13636,map00363,map01100,map01120,,,,,,,
C13637,map00363,map01120,,,,,,,,
C13638,map00363,map01120,,,,,,,,
C13639,,,,,,,,,,
C13645,,,,,,,,,,
C13646,,,,,,,,,,
C13650,,,,,,,,,,
C13651,,,,,,,,,,
C13652,,,,,,,,,,
C13660,,,,,,,,,,
C13662,map04080,map04270,,,,,,,,
C13664,,,,,,,,,,
C13665,,,,,,,,,,
C13666,,,,,,,,,,
C13667,,,,,,,,,,
C13668,,,,,,,,,,
C13670,,,,,,,,,,
C13671,,,,,,,,,,
C13672,,,,,,,,,,
C13673,,,,,,,,,,
C13674,,,,,,,,,,
C13675,,,,,,,,,,
C13676,,,,,,,,,,
C13677,,,,,,,,,,
C13678,,,,,,,,,,
C13679,,,,,,,,,,
C13680,,,,,,,,,,
C13681,,,,,,,,,,
C13682,,,,,,,,,,
C13683,,,,,,,,,,
C13684,,,,,,,,,,
C13687,,,,,,,,,,
C13688,,,,,,,,,,
C13689,,,,,,,,,,
C13690,,,,,,,,,,
C13691,,,,,,,,,,
C13692,,,,,,,,,,
C13693,,,,,,,,,,
C13694,,,,,,,,,,
C13695,,,,,,,,,,
C13696,,,,,,,,,,
C13697,,,,,,,,,,
C13698,,,,,,,,,,
C13699,,,,,,,,,,
C13700,,,,,,,,,,
C13701,,,,,,,,,,
C13702,,,,,,,,,,
C13703,,,,,,,,,,
C13704,,,,,,,,,,
C13705,,,,,,,,,,
C13706,,,,,,,,,,
C13707,,,,,,,,,,
C13708,,,,,,,,,,
C13709,,,,,,,,,,
C13710,,,,,,,,,,
C13711,,,,,,,,,,
C13712,map00140,,,,,,,,,
C13713,map00140,,,,,,,,,
C13714,,,,,,,,,,
C13715,,,,,,,,,,
C13716,,,,,,,,,,
C13717,,,,,,,,,,
C13718,,,,,,,,,,
C13719,,,,,,,,,,
C13720,,,,,,,,,,
C13721,,,,,,,,,,
C13722,,,,,,,,,,
C13723,,,,,,,,,,
C13724,,,,,,,,,,
C13725,,,,,,,,,,
C13726,,,,,,,,,,
C13727,,,,,,,,,,
C13728,,,,,,,,,,
C13729,map07232,,,,,,,,,
C13730,,,,,,,,,,
C13731,,,,,,,,,,
C13732,,,,,,,,,,
C13733,,,,,,,,,,
C13734,,,,,,,,,,
C13735,,,,,,,,,,
C13736,,,,,,,,,,
C13737,map07235,,,,,,,,,
C13738,,,,,,,,,,
C13739,,,,,,,,,,
C13740,,,,,,,,,,
C13741,,,,,,,,,,
C13742,,,,,,,,,,
C13743,,,,,,,,,,
C13744,,,,,,,,,,
C13745,,,,,,,,,,
C13746,,,,,,,,,,
C13747,map00232,map01060,map01100,map01110,map01120,,,,,
C13748,,,,,,,,,,
C13749,,,,,,,,,,
C13750,,,,,,,,,,
C13751,,,,,,,,,,
C13752,,,,,,,,,,
C13753,,,,,,,,,,
C13756,,,,,,,,,,
C13757,,,,,,,,,,
C13758,,,,,,,,,,
C13759,,,,,,,,,,
C13760,,,,,,,,,,
C13761,,,,,,,,,,
C13762,,,,,,,,,,
C13763,,,,,,,,,,
C13764,,,,,,,,,,
C13765,,,,,,,,,,
C13766,,,,,,,,,,
C13767,,,,,,,,,,
C13768,map02010,map02020,,,,,,,,
C13769,,,,,,,,,,
C13771,,,,,,,,,,
C13772,map07037,map07232,,,,,,,,
C13773,,,,,,,,,,
C13774,,,,,,,,,,
C13776,map07232,,,,,,,,,
C13777,map07037,map07232,,,,,,,,
C13778,,,,,,,,,,
C13779,,,,,,,,,,
C13780,,,,,,,,,,
C13781,,,,,,,,,,
C13782,map00403,map01110,,,,,,,,
C13783,,,,,,,,,,
C13784,,,,,,,,,,
C13785,,,,,,,,,,
C13786,,,,,,,,,,
C13787,,,,,,,,,,
C13788,,,,,,,,,,
C13789,,,,,,,,,,
C13790,,,,,,,,,,
C13791,,,,,,,,,,
C13792,,,,,,,,,,
C13793,,,,,,,,,,
C13794,,,,,,,,,,
C13795,,,,,,,,,,
C13796,,,,,,,,,,
C13797,,,,,,,,,,
C13798,,,,,,,,,,
C13799,,,,,,,,,,
C13800,,,,,,,,,,
C13802,,,,,,,,,,
C13803,,,,,,,,,,
C13804,,,,,,,,,,
C13805,,,,,,,,,,
C13806,,,,,,,,,,
C13807,,,,,,,,,,
C13808,,,,,,,,,,
C13809,map00590,,,,,,,,,
C13810,,,,,,,,,,
C13811,,,,,,,,,,
